time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_14_30_30_309398,-1.57079633,0.0,0.005,20001,1.06,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_30_387931,-1.57079633,0.0,0.005,20001,1.0611351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_30_654417,-1.57079633,0.0,0.005,20001,1.0645405,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_30_513346,-1.57079633,0.0,0.005,20001,1.0622703,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_125415,-1.57079633,0.0,0.005,20001,1.0634324,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_30_732971,-1.57079633,0.0,0.005,20001,1.0656757,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_109792,-1.57079633,0.0,0.005,20001,1.0622973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_141099,-1.57079633,0.0,0.005,20001,1.0645676,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_160197,-1.57079633,0.0,0.005,20001,1.0611622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_204138,-1.57079633,0.0,0.005,20001,1.0600541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_878647,-1.57079633,0.0,0.005,20001,1.0623243,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_894275,-1.57079633,0.0,0.005,20001,1.0611892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_941299,-1.57079633,0.0,0.005,20001,1.0600811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_31_925523,-1.57079633,0.0,0.005,20001,1.0645946,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_32_663892,-1.57079633,0.0,0.005,20001,1.0634865,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_33_338420,-1.57079633,0.0,0.005,20001,1.0635135,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_33_465415,-1.57079633,0.0,0.005,20001,1.0612432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_33_401357,-1.57079633,0.0,0.005,20001,1.0623784,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_33_024439,-1.57079633,0.0,0.005,20001,1.0657297,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_34_139109,-1.57079633,0.0,0.005,20001,1.0635405,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_34_202037,-1.57079633,0.0,0.005,20001,1.0612703,6.2831853,0,0.11032751,1,4.712389,9.8
