time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_11_17_38_274587,0.0,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_40_973601,0.36309865,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_103225,0.37888555,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_150101,0.16576243,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_228635,0.31573796,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_244255,0.17365588,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_275921,0.25259036,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_291554,0.039467244,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_307179,0.39467244,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_354055,0.26048381,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_385721,0.047360693,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_401353,0.40256589,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_416978,0.18944277,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_448231,0.055254142,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_495508,0.19733622,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_528323,0.12629518,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_542836,0.3394183,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_652634,0.63936936,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_684280,0.7104104,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_762446,0.71830385,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_778459,0.78934489,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_774955,0.44203314,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_41_794121,0.58411522,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_092252,0.79723834,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_013698,0.44992659,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_107873,0.52096763,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_139128,0.66304971,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_186407,0.80513179,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_248921,0.45782003,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_217675,0.52886107,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_259041,0.59990211,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_264559,0.73409075,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_343104,0.67094315,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_362048,0.81302523,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_376076,0.53675452,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_437477,0.74198419,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_453104,0.6788366,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_468727,0.82091868,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_535588,0.68673005,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_543588,0.74987764,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_576347,0.55254142,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_606992,0.6946235,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_676263,0.63147591,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_717034,0.83670558,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_748290,0.99457456,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_42_889910,0.93932042,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_43_062730,1.1524435,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
